producer_id,name,category,destination,country_code,region,village,current_lat,current_lng,road_access,website,google_maps_url,coordinate_valid,destination_bounds_ok,google_maps_coordinate_lat,google_maps_coordinate_lng,google_maps_distance_m,google_maps_status,nearest_other_producer_id,nearest_other_producer_distance_m,near_duplicate_ids,issue_codes,automated_status,manual_verification_status,suggested_arrival_lat,suggested_arrival_lng,suggested_move_distance_m,evidence_url_1,evidence_url_2,arrival_point_notes,road_access_review,reviewer_notes
siris-craft-brewery,Siris Craft Brewery (Voreia Beer),brewery,northern_greece,GR,Serres,Serres (Macedonia),41.085,23.548,paved,https://siriscraftbrewery.gr,"https://maps.google.com/?q=41.0850,23.5480",true,true,41.085000,23.548000,0.0,MAP_LINK_MATCH,ktima-pavlidis,40597.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
thymiopoulos-naoussa,Thymiopoulos Vineyards Naoussa,winery,northern_greece,GR,Naoussa,Trilofos,40.612,22.115,paved,https://thymiopoulosvineyards.gr,"https://maps.google.com/?q=40.6120,22.1150",true,true,40.612000,22.115000,0.0,MAP_LINK_MATCH,kir-yianni-naoussa,8343.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
domaine-mercouri,Domaine Mercouri,winery,peloponnese,GR,Ilia,Korakochori (Peloponnese),37.662,21.312,paved,https://mercouri.gr,"https://maps.google.com/?q=37.6620,21.3120",true,true,37.662000,21.312000,0.0,MAP_LINK_MATCH,kykao-handcrafted-beers,76278.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
gaia-wines-nemea,Gaia Wines Nemea,winery,peloponnese,GR,Nemea,Koutsi (Nemea),37.822,22.658,paved,https://gaiawines.gr,"https://maps.google.com/?q=37.8220,22.6580",true,true,37.822000,22.658000,0.0,MAP_LINK_MATCH,semeli-estate-nemea,667.2,,,PASS_INTERNAL_CHECKS,,,,,,,,,
skouras-winery-nemea,Ktima Skouras (Peloponnese),winery,peloponnese,GR,Nemea,Malandreni (Argos),37.721,22.684,paved,https://skouras.gr,"https://maps.google.com/?q=37.7210,22.6840",true,true,37.721000,22.684000,0.0,MAP_LINK_MATCH,gaia-wines-nemea,11460.8,,,PASS_INTERNAL_CHECKS,,,,,,,,,
ktima-tselepos,Ktima Tselepos,winery,peloponnese,GR,Arcadia,Rizes (Mantinia Plateau),37.464,22.455,paved,https://tselepos.gr,"https://maps.google.com/?q=37.4640,22.4550",true,true,37.464000,22.455000,0.0,MAP_LINK_MATCH,skouras-winery-nemea,34982.1,,,PASS_INTERNAL_CHECKS,,,,,,,,,
kykao-handcrafted-beers,Kykao Handcrafted Beers,brewery,peloponnese,GR,Achaia,Patras (Peloponnese),38.251,21.758,paved,https://kykao.gr,"https://maps.google.com/?q=38.2510,21.7580",true,true,38.251000,21.758000,0.0,MAP_LINK_MATCH,tetramythos-winery,41138.6,,,PASS_INTERNAL_CHECKS,,,,,,,,,
liokareas-olive-estate,Liokareas Olive Estate,olive_mill,peloponnese,GR,Messinia,Mani Peninsula (Peloponnese),36.912,22.254,paved,https://liokareas.com,"https://maps.google.com/?q=36.9120,22.2540",true,true,36.912000,22.254000,0.0,MAP_LINK_MATCH,ktima-tselepos,63909.9,,,PASS_INTERNAL_CHECKS,,,,,,,,,
monemvasia-winery,Monemvasia Winery (Tsimbidi),winery,peloponnese,GR,Laconia,Velies (Monemvasia),36.685,22.955,paved,https://monemvasiawinery.gr,"https://maps.google.com/?q=36.6850,22.9550",true,true,36.685000,22.955000,0.0,MAP_LINK_MATCH,liokareas-olive-estate,67326.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
semeli-estate-nemea,Semeli Estate Nemea,winery,peloponnese,GR,Nemea,Koutsi (Nemea),37.828,22.658,paved,https://semeliestate.gr,"https://maps.google.com/?q=37.8280,22.6580",true,true,37.828000,22.658000,0.0,MAP_LINK_MATCH,gaia-wines-nemea,667.2,,,PASS_INTERNAL_CHECKS,,,,,,,,,
tetramythos-winery,Tetramythos Winery,winery,peloponnese,GR,Aigialeia,Ano Diakopto (Peloponnese),38.162,22.215,paved,https://tetramythoswines.com,"https://maps.google.com/?q=38.1620,22.2150",true,true,38.162000,22.215000,0.0,MAP_LINK_MATCH,kykao-handcrafted-beers,41138.6,,,PASS_INTERNAL_CHECKS,,,,,,,,,
canava-santorini-distillery,Canava Santorini Distillery,kazani,santorini,GR,Santorini,Messaria (Santorini),36.402,25.451,paved,https://canavasantorini.gr,"https://maps.google.com/?q=36.4020,25.4510",true,true,36.402000,25.451000,0.0,MAP_LINK_MATCH,santorini-brewing-company,399.3,,,PASS_INTERNAL_CHECKS,,,,,,,,,
domaine-sigalas-santorini,Domaine Sigalas,winery,santorini,GR,Santorini,Oia (Baxedes Plain),36.463,25.385,paved,https://sigalas-estate.com,"https://maps.google.com/?q=36.4630,25.3850",true,true,36.463000,25.385000,0.0,MAP_LINK_MATCH,vassaltis-vineyards,5572.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
estate-argyros-santorini,Estate Argyros Santorini,winery,santorini,GR,Santorini,Episkopi Gonia,36.386,25.461,paved,https://estateargyros.com,"https://maps.google.com/?q=36.3860,25.4610",true,true,36.386000,25.461000,0.0,MAP_LINK_MATCH,santorini-brewing-company,1606.5,,,PASS_INTERNAL_CHECKS,,,,,,,,,
gaia-wines-santorini,Gaia Wines Santorini,winery,santorini,GR,Santorini,Monolithos / Kamari Beach,36.408,25.482,paved,https://gaiawines.gr,"https://maps.google.com/?q=36.4080,25.4820",true,true,36.408000,25.482000,0.0,MAP_LINK_MATCH,canava-santorini-distillery,2853.4,,,PASS_INTERNAL_CHECKS,,,,,,,,,
gavalas-winery-santorini,Gavalas Winery Santorini,winery,santorini,GR,Santorini,Megalochori Village,36.376,25.433,paved,https://gavalaswines.gr,"https://maps.google.com/?q=36.3760,25.4330",true,true,36.376000,25.433000,0.0,MAP_LINK_MATCH,venetsanos-winery-santorini,1027.4,,,PASS_INTERNAL_CHECKS,,,,,,,,,
santo-wines-santorini,Santo Wines Cooperative,winery,santorini,GR,Santorini Caldera,Pyrgos (Caldera Rim),36.387,25.438,paved,https://santowines.gr,"https://maps.google.com/?q=36.3870,25.4380",true,true,36.387000,25.438000,0.0,MAP_LINK_MATCH,venetsanos-winery-santorini,894.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
santorini-brewing-company,Santorini Brewing Company (Donkey Beer),brewery,santorini,GR,Santorini,Mesa Gonia,36.3985,25.452,paved,https://santorinibrewingcompany.gr,"https://maps.google.com/?q=36.3985,25.4520",true,true,36.398500,25.452000,0.0,MAP_LINK_MATCH,canava-santorini-distillery,399.3,,,PASS_INTERNAL_CHECKS,,,,,,,,,
vassaltis-vineyards,Vassaltis Vineyards Santorini,winery,santorini,GR,Santorini,Vourvoulos,36.438,25.439,paved,https://vassaltis.com,"https://maps.google.com/?q=36.4380,25.4390",true,true,36.438000,25.439000,0.0,MAP_LINK_MATCH,canava-santorini-distillery,4144.5,,,PASS_INTERNAL_CHECKS,,,,,,,,,
venetsanos-winery-santorini,Venetsanos Winery Santorini,winery,santorini,GR,Santorini Caldera,Megalochori (Caldera),36.3845,25.4285,paved,https://venetsanoswinery.com,"https://maps.google.com/?q=36.3845,25.4285",true,true,36.384500,25.428500,0.0,MAP_LINK_MATCH,santo-wines-santorini,894.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
monteraponi-tuscany,Azienda Agricola Monteraponi,winery,tuscany,IT,Tuscany,Radda in Chianti,43.4671,11.3447,paved,https://www.monteraponi.it,"https://maps.google.com/?q=43.4671,11.3447",true,true,43.467100,11.344700,0.0,MAP_LINK_MATCH,alpha-estate,906894.4,,,PASS_INTERNAL_CHECKS,,,,,,,,,
